authFullName_s,producedDate_s,journalTitle_s,conferenceTitle_s,conferenceStartDate_s
"Yonathan Efroni,Gal Dalal,Bruno Scherrer,Shie Mannor",2018-12-02,,NeurIPS 2018 - Thirty-second Conference on Neural Information Processing Systems,2018-12-02
"Oualid Zari,Chuan Xu,Giovanni Neglia",2021-12-14,,NeurIPS PriML 2021 - workshop Privacy in Machine Learning,2021-12-14
"Quentin Bouniot,Ievgen Redko,Romaric Audigier,Angelique Loesch,Amaury Habrard",2020-12-06,,NeurIPS 2020 - 34th Neural Information Processing Systems,2020-12-06
"Evgenii Chzhen,Christophe Giraud,Gilles Stoltz",2021,Advances in Neural Information Processing Systems,35th Conference on Neural Information Processing Systems (NeurIPS 2021),2021
"Andrei Kulunchakov,Julien Mairal",2019-12-08,,NeurIPS 2019 - Thirty-third Conference Neural Information Processing Systems,2019-12-08
"Taylor Mordan,Nicolas Thome,Gilles Henaff,Matthieu Cord",2018-12-02,,32nd Conference on Neural Information Processing Systems (NeurIPS),2018-12-02
"Federica Granese,Marco Romanelli,Daniele Gorla,Catuscia Palamidessi,Pablo Piantanida",2021,,Advances in Neural Information Processing Systems (NeurIPS),2021
Gergely Neu,2015-12-12,,Advances on Neural Information Processing Systems 28 (NIPS 2015),2015-12-12
Francis Bach,2018-12-03,,NIPS 2018 : Thirty-second Annual Conference on Neural Information Processing Systems,2018-12-03
"Sophie Giffard-Roisin,Mo Yang,Guillaume Charpiat,Balázs Kégl,Claire Monteleoni",2018-12-07,,Modeling and decision-making in the spatiotemporal domain NIPS workhop,2018-12-07
"Sylvain Gelly,Yizao Wang",2006-12-08,,NIPS: Neural Information Processing Systems Conference On-line trading of Exploration and Exploitation Workshop,2006-12-08
"Alberto Bietti,Julien Mairal",2017-12-04,,NIPS 2017 - Advances in Neural Information Processing Systems,2017-12-04
"Rohit Babbar,Ioannis Partalas,Eric Gaussier,Massih-Reza Amini",2013-12-05,,27th Annual Conference on Neural Information Processing Systems (NIPS 26),2013-12-05
"Xavier Hinaut,Johannes Twiefel,Maxime Petit,Peter Dominey,Stefan Wermter",2015-12-11,,Proceedings of the NIPS Workshop on Cognitive Computation: Integrating Neural and Symbolic Approaches (CoCo 2015),2015-12-11
"Marc Gorriz Blanch,Xavier Giro I Nieto,Axel Carlier,Emmanuel Faure",2017-12-08,,31st Conference on Machine Learning for Health:  Workshop at NIPS 2017 (ML4H 2017),2017-12-08
"Antoine Bureau,Michèle Sebag",2014-12-08,,"Autonomously Learning Robots, at NIPS 2014",2014-12-08
"Basile Mayeur,Riad Akrour,Michèle Sebag",2014-12-12,,"Autonomously Learning Robots, workshop at NIPS 2014",2014-12-12
"Michael Guerzhoy,Aaron Hertzmann",2012-12-07,,"NIPS Wokshop on Social Network and Social Media Analysis: Methods, Models and Applications",2012-12-07
"Pritish Mohapatra,C. V. Jawahar,M. Pawan Kumar",2014,,NIPS - Advances in Neural Information Processing Systems,2014
"Sébastien Gerchinovitz,Tor Lattimore",2016-12-05,,NIPS 2016,2016-12-05
"Alberto Bietti,Julien Mairal",2017-12-04,,NIPS 2017 - 31st Conference on  Advances in Neural Information Processing Systems,2017-12-04
"Odalric-Ambrym Maillard,Rémi Munos",2009-12-08,,NIPS 2009,2009-12-08
"Victor Estrade,Cécile Germain,Isabelle Guyon,David Rousseau",2017-12-08,,NIPS 2017 - workshop Deep Learning for Physical Sciences,2017-12-08
Julien Mairal,2013-12-05,,NIPS 2013 - Advances in Neural Information Processing Systems,2013-12-05
"Hanlin Goh,Nicolas Thome,Matthieu Cord",2010-12-10,,NIPS 2010 Workshop on Deep Learning and Unsupervised Feature Learning,2010-12-10
"Paul Lagrée,Claire Vernade,Olivier Cappé",2016-01-05,,Neural Information Processing Systems (NIPS),2016-01-05
"Damien Follet,Nicolas Delestre,Nicolas Malandain,Laurent Vercouter",2013-12-10,,"NIPS 2013, Workshop Data Driven Education",2013-12-10
"Mickaël Chen,Ludovic Denoyer,Thierry Artières",2018-04-30,,6th International Conference on Learning Representations (ICLR 2018),2018-04-30
"Ahmed Akakzia,Cédric Colas,Pierre-Yves Oudeyer,Mohamed Chetouani,Olivier Sigaud",2021-05-04,,ICLR 2021 - Ninth International Conference on Learning Representation,2021-05-04
"Louis Thiry,Michael Arbel,Eugene Belilovsky,Edouard Oyallon",2021,,International Conference on Learning Representation (ICLR 2021),2021
